наоборот.1,АЛФАВИТ
01,А
1000,Б
011,В
110,Г
100,Д
0,Е
0001,Ж
1100,З
00,И
0111,Й
101,К
0100,Л
11,М
10,Н
111,О
0110,П
010,Р
000,С
1,Т
001,У
0010,Ф
0000,Х
1010,Ц
1110,Ч
1111,Ш
1101,Щ
11011,Ъ
1011,Ы
1001,Ь
00100,Э
0011,Ю
0101,Я
